"No.","Time","Delta time","Source","Destination","Protocol","Length","Window size value","Info"
"2099","2.004628","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=34305 Ack=1 Win=14600 Len=512 TSval=501 TSecr=501"
"2102","2.005770","0.000914","10.4.14.2","10.2.4.2","TCP","62","7430","50000 > 46629 [ACK] Seq=1 Ack=34817 Win=59440 Len=0 TSval=501 TSecr=501"
"2103","2.005770","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=34817 Ack=1 Win=14600 Len=512 TSval=501 TSecr=501"
"2106","2.006911","0.000909","10.4.14.2","10.2.4.2","TCP","62","7564","50000 > 46629 [ACK] Seq=1 Ack=35329 Win=60512 Len=0 TSval=501 TSecr=501"
"2107","2.006911","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=35329 Ack=1 Win=14600 Len=512 TSval=501 TSecr=501"
"2110","2.008053","0.000910","10.4.14.2","10.2.4.2","TCP","62","7698","50000 > 46629 [ACK] Seq=1 Ack=35841 Win=61584 Len=0 TSval=501 TSecr=501"
"2111","2.008053","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=35841 Ack=1 Win=14600 Len=512 TSval=502 TSecr=501"
"2114","2.009194","0.000884","10.4.14.2","10.2.4.2","TCP","62","7832","50000 > 46629 [ACK] Seq=1 Ack=36353 Win=62656 Len=0 TSval=502 TSecr=502"
"2115","2.009194","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=36353 Ack=1 Win=14600 Len=512 TSval=502 TSecr=502"
"2118","2.010336","0.000884","10.4.14.2","10.2.4.2","TCP","62","7966","50000 > 46629 [ACK] Seq=1 Ack=36865 Win=63728 Len=0 TSval=502 TSecr=502"
"2119","2.010336","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=36865 Ack=1 Win=14600 Len=512 TSval=502 TSecr=502"
"2122","2.011518","0.000925","10.4.14.2","10.2.4.2","TCP","62","8100","50000 > 46629 [ACK] Seq=1 Ack=37377 Win=64800 Len=0 TSval=502 TSecr=502"
"2123","2.011518","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=37377 Ack=1 Win=14600 Len=512 TSval=502 TSecr=502"
"2126","2.012669","0.000850","10.4.14.2","10.2.4.2","TCP","62","8234","50000 > 46629 [ACK] Seq=1 Ack=37889 Win=65872 Len=0 TSval=503 TSecr=502"
"2127","2.012669","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=37889 Ack=1 Win=14600 Len=512 TSval=503 TSecr=503"
"2130","2.013838","0.000817","10.4.14.2","10.2.4.2","TCP","62","8368","50000 > 46629 [ACK] Seq=1 Ack=38401 Win=66944 Len=0 TSval=503 TSecr=503"
"2131","2.013838","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=38401 Ack=1 Win=14600 Len=512 TSval=503 TSecr=503"
"2134","2.015003","0.000841","10.4.14.2","10.2.4.2","TCP","62","8502","50000 > 46629 [ACK] Seq=1 Ack=38913 Win=68016 Len=0 TSval=503 TSecr=503"
"2135","2.015003","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=38913 Ack=1 Win=14600 Len=512 TSval=503 TSecr=503"
"2138","2.016184","0.000870","10.4.14.2","10.2.4.2","TCP","62","8636","50000 > 46629 [ACK] Seq=1 Ack=39425 Win=69088 Len=0 TSval=503 TSecr=503"
"2139","2.016184","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=39425 Ack=1 Win=14600 Len=512 TSval=504 TSecr=503"
"2142","2.017331","0.000774","10.4.14.2","10.2.4.2","TCP","62","8770","50000 > 46629 [ACK] Seq=1 Ack=39937 Win=70160 Len=0 TSval=504 TSecr=504"
"2143","2.017331","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=39937 Ack=1 Win=14600 Len=512 TSval=504 TSecr=504"
"2146","2.018472","0.000664","10.4.14.2","10.2.4.2","TCP","62","8904","50000 > 46629 [ACK] Seq=1 Ack=40449 Win=71232 Len=0 TSval=504 TSecr=504"
"2147","2.018472","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=40449 Ack=1 Win=14600 Len=512 TSval=504 TSecr=504"
"2150","2.019634","0.000515","10.4.14.2","10.2.4.2","TCP","62","9038","50000 > 46629 [ACK] Seq=1 Ack=40961 Win=72304 Len=0 TSval=504 TSecr=504"
"2151","2.019634","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=40961 Ack=1 Win=14600 Len=512 TSval=504 TSecr=504"
"2154","2.020775","0.000345","10.4.14.2","10.2.4.2","TCP","62","9172","50000 > 46629 [ACK] Seq=1 Ack=41473 Win=73376 Len=0 TSval=505 TSecr=504"
"2155","2.020775","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=41473 Ack=1 Win=14600 Len=512 TSval=505 TSecr=505"
"2158","2.021921","0.000319","10.4.14.2","10.2.4.2","TCP","62","9306","50000 > 46629 [ACK] Seq=1 Ack=41985 Win=74448 Len=0 TSval=505 TSecr=505"
"2159","2.021921","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=41985 Ack=1 Win=14600 Len=512 TSval=505 TSecr=505"
"2162","2.023062","0.000310","10.4.14.2","10.2.4.2","TCP","62","9440","50000 > 46629 [ACK] Seq=1 Ack=42497 Win=75520 Len=0 TSval=505 TSecr=505"
"2163","2.023062","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=42497 Ack=1 Win=14600 Len=512 TSval=505 TSecr=505"
"2166","2.024204","0.000296","10.4.14.2","10.2.4.2","TCP","62","9574","50000 > 46629 [ACK] Seq=1 Ack=43009 Win=76592 Len=0 TSval=505 TSecr=505"
"2167","2.024204","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=43009 Ack=1 Win=14600 Len=512 TSval=506 TSecr=505"
"2170","2.025383","0.000242","10.4.14.2","10.2.4.2","TCP","62","9708","50000 > 46629 [ACK] Seq=1 Ack=43521 Win=77664 Len=0 TSval=506 TSecr=506"
"2171","2.025383","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=43521 Ack=1 Win=14600 Len=512 TSval=506 TSecr=506"
"2174","2.026530","0.000138","10.4.14.2","10.2.4.2","TCP","62","9842","50000 > 46629 [ACK] Seq=1 Ack=44033 Win=78736 Len=0 TSval=506 TSecr=506"
"2175","2.026530","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=44033 Ack=1 Win=14600 Len=512 TSval=506 TSecr=506"
"2178","2.027674","0.000008","10.4.14.2","10.2.4.2","TCP","62","9976","50000 > 46629 [ACK] Seq=1 Ack=44545 Win=79808 Len=0 TSval=506 TSecr=506"
"2179","2.027674","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=44545 Ack=1 Win=14600 Len=512 TSval=506 TSecr=506"
"2180","2.028818","0.001144","10.4.14.2","10.2.4.2","TCP","62","10110","50000 > 46629 [ACK] Seq=1 Ack=45057 Win=80880 Len=0 TSval=507 TSecr=506"
"2181","2.028818","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=45057 Ack=1 Win=14600 Len=512 TSval=507 TSecr=507"
"2184","2.029962","0.000985","10.4.14.2","10.2.4.2","TCP","62","10244","50000 > 46629 [ACK] Seq=1 Ack=45569 Win=81952 Len=0 TSval=507 TSecr=507"
"2185","2.029962","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=45569 Ack=1 Win=14600 Len=512 TSval=507 TSecr=507"
"2188","2.031104","0.000876","10.4.14.2","10.2.4.2","TCP","62","10378","50000 > 46629 [ACK] Seq=1 Ack=46081 Win=83024 Len=0 TSval=507 TSecr=507"
"2189","2.031104","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=46081 Ack=1 Win=14600 Len=512 TSval=507 TSecr=507"
"2192","2.032245","0.000796","10.4.14.2","10.2.4.2","TCP","62","10512","50000 > 46629 [ACK] Seq=1 Ack=46593 Win=84096 Len=0 TSval=507 TSecr=507"
"2193","2.032245","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=46593 Ack=1 Win=14600 Len=512 TSval=508 TSecr=507"
"2196","2.033386","0.000743","10.4.14.2","10.2.4.2","TCP","62","10646","50000 > 46629 [ACK] Seq=1 Ack=47105 Win=85168 Len=0 TSval=508 TSecr=508"
"2197","2.033386","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=47105 Ack=1 Win=14600 Len=512 TSval=508 TSecr=508"
"2200","2.034528","0.000716","10.4.14.2","10.2.4.2","TCP","62","10780","50000 > 46629 [ACK] Seq=1 Ack=47617 Win=86240 Len=0 TSval=508 TSecr=508"
"2201","2.034528","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=47617 Ack=1 Win=14600 Len=512 TSval=508 TSecr=508"
"2204","2.035669","0.000709","10.4.14.2","10.2.4.2","TCP","62","10914","50000 > 46629 [ACK] Seq=1 Ack=48129 Win=87312 Len=0 TSval=508 TSecr=508"
"2205","2.035669","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=48129 Ack=1 Win=14600 Len=512 TSval=508 TSecr=508"
"2208","2.036811","0.000697","10.4.14.2","10.2.4.2","TCP","62","11048","50000 > 46629 [ACK] Seq=1 Ack=48641 Win=88384 Len=0 TSval=509 TSecr=508"
"2209","2.036811","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=48641 Ack=1 Win=14600 Len=512 TSval=509 TSecr=509"
"2212","2.037952","0.000610","10.4.14.2","10.2.4.2","TCP","62","11182","50000 > 46629 [ACK] Seq=1 Ack=49153 Win=89456 Len=0 TSval=509 TSecr=509"
"2213","2.037952","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=49153 Ack=1 Win=14600 Len=512 TSval=509 TSecr=509"
"2216","2.039095","0.000611","10.4.14.2","10.2.4.2","TCP","62","11316","50000 > 46629 [ACK] Seq=1 Ack=49665 Win=90528 Len=0 TSval=509 TSecr=509"
"2217","2.039095","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=49665 Ack=1 Win=14600 Len=512 TSval=509 TSecr=509"
"2220","2.040241","0.000616","10.4.14.2","10.2.4.2","TCP","62","11450","50000 > 46629 [ACK] Seq=1 Ack=50177 Win=91600 Len=0 TSval=509 TSecr=509"
"2221","2.040241","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=50177 Ack=1 Win=14600 Len=512 TSval=510 TSecr=509"
"2224","2.041388","0.000564","10.4.14.2","10.2.4.2","TCP","62","11584","50000 > 46629 [ACK] Seq=1 Ack=50689 Win=92672 Len=0 TSval=510 TSecr=510"
"2225","2.041388","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=50689 Ack=1 Win=14600 Len=512 TSval=510 TSecr=510"
"2228","2.042544","0.000466","10.4.14.2","10.2.4.2","TCP","62","11718","50000 > 46629 [ACK] Seq=1 Ack=51201 Win=93744 Len=0 TSval=510 TSecr=510"
"2229","2.042544","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=51201 Ack=1 Win=14600 Len=512 TSval=510 TSecr=510"
"2232","2.043705","0.000485","10.4.14.2","10.2.4.2","TCP","62","11852","50000 > 46629 [ACK] Seq=1 Ack=51713 Win=94816 Len=0 TSval=510 TSecr=510"
"2233","2.043705","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=51713 Ack=1 Win=14600 Len=512 TSval=510 TSecr=510"
"2236","2.044866","0.000437","10.4.14.2","10.2.4.2","TCP","62","11986","50000 > 46629 [ACK] Seq=1 Ack=52225 Win=95888 Len=0 TSval=511 TSecr=510"
"2237","2.044866","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=52225 Ack=1 Win=14600 Len=512 TSval=511 TSecr=511"
"2240","2.046017","0.000363","10.4.14.2","10.2.4.2","TCP","62","12120","50000 > 46629 [ACK] Seq=1 Ack=52737 Win=96960 Len=0 TSval=511 TSecr=511"
"2241","2.046017","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=52737 Ack=1 Win=14600 Len=512 TSval=511 TSecr=511"
"2244","2.047185","0.000280","10.4.14.2","10.2.4.2","TCP","62","12254","50000 > 46629 [ACK] Seq=1 Ack=53249 Win=98032 Len=0 TSval=511 TSecr=511"
"2245","2.047185","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=53249 Ack=1 Win=14600 Len=512 TSval=511 TSecr=511"
"2248","2.048326","0.000170","10.4.14.2","10.2.4.2","TCP","62","12388","50000 > 46629 [ACK] Seq=1 Ack=53761 Win=99104 Len=0 TSval=511 TSecr=511"
"2249","2.048326","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=53761 Ack=1 Win=14600 Len=512 TSval=512 TSecr=511"
"2252","2.049468","0.000089","10.4.14.2","10.2.4.2","TCP","62","12522","50000 > 46629 [ACK] Seq=1 Ack=54273 Win=100176 Len=0 TSval=512 TSecr=512"
"2253","2.049468","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=54273 Ack=1 Win=14600 Len=512 TSval=512 TSecr=512"
"2256","2.050635","0.000005","10.4.14.2","10.2.4.2","TCP","62","12656","50000 > 46629 [ACK] Seq=1 Ack=54785 Win=101248 Len=0 TSval=512 TSecr=512"
"2257","2.050635","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=54785 Ack=1 Win=14600 Len=512 TSval=512 TSecr=512"
"2260","2.051776","0.000005","10.4.14.2","10.2.4.2","TCP","62","12790","50000 > 46629 [ACK] Seq=1 Ack=55297 Win=102320 Len=0 TSval=512 TSecr=512"
"2261","2.051776","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=55297 Ack=1 Win=14600 Len=512 TSval=512 TSecr=512"
"2264","2.052968","0.000005","10.4.14.2","10.2.4.2","TCP","62","12924","50000 > 46629 [ACK] Seq=1 Ack=55809 Win=103392 Len=0 TSval=513 TSecr=512"
"2265","2.052968","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=55809 Ack=1 Win=14600 Len=512 TSval=513 TSecr=513"
"2268","2.054133","0.000005","10.4.14.2","10.2.4.2","TCP","62","13058","50000 > 46629 [ACK] Seq=1 Ack=56321 Win=104464 Len=0 TSval=513 TSecr=513"
"2269","2.054133","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=56321 Ack=1 Win=14600 Len=512 TSval=513 TSecr=513"
"2272","2.055295","0.000026","10.4.14.2","10.2.4.2","TCP","62","13192","50000 > 46629 [ACK] Seq=1 Ack=56833 Win=105536 Len=0 TSval=513 TSecr=513"
"2273","2.055295","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=56833 Ack=1 Win=14600 Len=512 TSval=513 TSecr=513"
"2276","2.056460","0.000005","10.4.14.2","10.2.4.2","TCP","62","13326","50000 > 46629 [ACK] Seq=1 Ack=57345 Win=106608 Len=0 TSval=513 TSecr=513"
"2277","2.056460","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=57345 Ack=1 Win=14600 Len=512 TSval=514 TSecr=513"
"2280","2.057661","0.000005","10.4.14.2","10.2.4.2","TCP","62","13460","50000 > 46629 [ACK] Seq=1 Ack=57857 Win=107680 Len=0 TSval=514 TSecr=514"
"2281","2.057661","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=57857 Ack=1 Win=14600 Len=512 TSval=514 TSecr=514"
"2284","2.058803","0.000005","10.4.14.2","10.2.4.2","TCP","62","13594","50000 > 46629 [ACK] Seq=1 Ack=58369 Win=108752 Len=0 TSval=514 TSecr=514"
"2285","2.058803","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=58369 Ack=1 Win=14600 Len=512 TSval=514 TSecr=514"
"2288","2.059944","0.000005","10.4.14.2","10.2.4.2","TCP","62","13728","50000 > 46629 [ACK] Seq=1 Ack=58881 Win=109824 Len=0 TSval=514 TSecr=514"
"2289","2.059944","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=58881 Ack=1 Win=14600 Len=512 TSval=514 TSecr=514"
"2292","2.061086","0.000005","10.4.14.2","10.2.4.2","TCP","62","13862","50000 > 46629 [ACK] Seq=1 Ack=59393 Win=110896 Len=0 TSval=515 TSecr=514"
"2293","2.061086","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=59393 Ack=1 Win=14600 Len=512 TSval=515 TSecr=515"
"2296","2.062227","0.000005","10.4.14.2","10.2.4.2","TCP","62","13996","50000 > 46629 [ACK] Seq=1 Ack=59905 Win=111968 Len=0 TSval=515 TSecr=515"
"2297","2.062227","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=59905 Ack=1 Win=14600 Len=512 TSval=515 TSecr=515"
"2300","2.063419","0.000005","10.4.14.2","10.2.4.2","TCP","62","14130","50000 > 46629 [ACK] Seq=1 Ack=60417 Win=113040 Len=0 TSval=515 TSecr=515"
"2301","2.063419","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=60417 Ack=1 Win=14600 Len=512 TSval=515 TSecr=515"
"2304","2.064621","0.000005","10.4.14.2","10.2.4.2","TCP","62","14264","50000 > 46629 [ACK] Seq=1 Ack=60929 Win=114112 Len=0 TSval=516 TSecr=515"
"2305","2.064621","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=60929 Ack=1 Win=14600 Len=512 TSval=516 TSecr=516"
"2308","2.065796","0.000005","10.4.14.2","10.2.4.2","TCP","62","14398","50000 > 46629 [ACK] Seq=1 Ack=61441 Win=115184 Len=0 TSval=516 TSecr=516"
"2309","2.065796","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=61441 Ack=1 Win=14600 Len=512 TSval=516 TSecr=516"
"2312","2.066948","0.000005","10.4.14.2","10.2.4.2","TCP","62","14532","50000 > 46629 [ACK] Seq=1 Ack=61953 Win=116256 Len=0 TSval=516 TSecr=516"
"2313","2.066948","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=61953 Ack=1 Win=14600 Len=512 TSval=516 TSecr=516"
"2316","2.068101","0.000005","10.4.14.2","10.2.4.2","TCP","62","14666","50000 > 46629 [ACK] Seq=1 Ack=62465 Win=117328 Len=0 TSval=516 TSecr=516"
"2317","2.068101","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=62465 Ack=1 Win=14600 Len=512 TSval=517 TSecr=516"
"2318","2.069242","0.001141","10.4.14.2","10.2.4.2","TCP","62","14800","50000 > 46629 [ACK] Seq=1 Ack=62977 Win=118400 Len=0 TSval=517 TSecr=517"
"2319","2.069242","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=62977 Ack=1 Win=14600 Len=512 TSval=517 TSecr=517"
"2322","2.070383","0.001055","10.4.14.2","10.2.4.2","TCP","62","14934","50000 > 46629 [ACK] Seq=1 Ack=63489 Win=119472 Len=0 TSval=517 TSecr=517"
"2323","2.070383","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=63489 Ack=1 Win=14600 Len=512 TSval=517 TSecr=517"
"2326","2.071525","0.001056","10.4.14.2","10.2.4.2","TCP","62","15068","50000 > 46629 [ACK] Seq=1 Ack=64001 Win=120544 Len=0 TSval=517 TSecr=517"
"2327","2.071525","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=64001 Ack=1 Win=14600 Len=512 TSval=517 TSecr=517"
"2330","2.072666","0.001055","10.4.14.2","10.2.4.2","TCP","62","15202","50000 > 46629 [ACK] Seq=1 Ack=64513 Win=121616 Len=0 TSval=518 TSecr=517"
"2331","2.072666","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=64513 Ack=1 Win=14600 Len=512 TSval=518 TSecr=518"
"2334","2.073808","0.000948","10.4.14.2","10.2.4.2","TCP","62","15336","50000 > 46629 [ACK] Seq=1 Ack=65025 Win=122688 Len=0 TSval=518 TSecr=518"
"2335","2.073808","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=65025 Ack=1 Win=14600 Len=512 TSval=518 TSecr=518"
"2338","2.074949","0.000838","10.4.14.2","10.2.4.2","TCP","62","15470","50000 > 46629 [ACK] Seq=1 Ack=65537 Win=123760 Len=0 TSval=518 TSecr=518"
"2339","2.074949","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=65537 Ack=1 Win=14600 Len=512 TSval=518 TSecr=518"
"2342","2.076098","0.000782","10.4.14.2","10.2.4.2","TCP","62","15604","50000 > 46629 [ACK] Seq=1 Ack=66049 Win=124832 Len=0 TSval=518 TSecr=518"
"2343","2.076098","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=66049 Ack=1 Win=14600 Len=512 TSval=519 TSecr=518"
"2346","2.077245","0.000728","10.4.14.2","10.2.4.2","TCP","62","15738","50000 > 46629 [ACK] Seq=1 Ack=66561 Win=125904 Len=0 TSval=519 TSecr=519"
"2347","2.077245","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=66561 Ack=1 Win=14600 Len=512 TSval=519 TSecr=519"
"2350","2.078413","0.000689","10.4.14.2","10.2.4.2","TCP","62","15872","50000 > 46629 [ACK] Seq=1 Ack=67073 Win=126976 Len=0 TSval=519 TSecr=519"
"2351","2.078413","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=67073 Ack=1 Win=14600 Len=512 TSval=519 TSecr=519"
"2354","2.079559","0.000691","10.4.14.2","10.2.4.2","TCP","62","16006","50000 > 46629 [ACK] Seq=1 Ack=67585 Win=128048 Len=0 TSval=519 TSecr=519"
"2355","2.079559","0.000000","10.2.4.2","10.4.14.2","TCP","586","1825","46629 > 50000 [PSH, ACK] Seq=67585 Ack=1 Win=14600 Len=512 TSval=519 TSecr=519"
"2358","2.080701","0.000653","10.4.14.2","10.2.4.2","TCP","62","16140","50000 > 46629 [ACK] Seq=1 Ack=68097 Win=129120 Len=0 TSval=520 TSecr=519"
"2359","2.080701","0.000000","10.2.4.2","10.4.14.2","TCP","476","1825","46629 > 50000 [PSH, ACK] Seq=68097 Ack=1 Win=14600 Len=402 TSval=520 TSecr=520"
"2360","2.080739","0.000038","10.2.4.2","10.4.14.2","TCP","74","1825","[TCP Dup ACK 2359#1] 46629 > 50000 [ACK] Seq=68499 Ack=1 Win=14600 Len=0 TSval=520 TSecr=520"
"2363","2.081834","0.000584","10.4.14.2","10.2.4.2","TCP","62","16274","50000 > 46629 [ACK] Seq=1 Ack=68499 Win=130192 Len=0 TSval=520 TSecr=520"
"2373","2.120497","0.034631","10.4.14.2","10.2.4.2","TCP","62","16274","[TCP Dup ACK 2363#1] 50000 > 46629 [ACK] Seq=1 Ack=68499 Win=130192 Len=0 TSval=530 TSecr=520"
"2374","2.120497","0.000000","10.2.4.2","10.4.14.2","TCP","62","1825","46629 > 50000 [FIN, ACK] Seq=68499 Ack=1 Win=14600 Len=0 TSval=530 TSecr=530"
"2663","2.162643","0.000034","10.4.14.2","10.2.4.2","TCP","62","16274","50000 > 46629 [ACK] Seq=1 Ack=68500 Win=130192 Len=0 TSval=540 TSecr=530"
